Store,AvgWeeklySales,TotalSales,AvgSize,NumDepts,Segment
1,21710.543620655993,222402808.85,0.2392089541627387,77,1
2,26898.070031256106,275382440.98,1.0754105399107041,78,2
3,6373.03398295706,57586735.07,-1.6289780801400044,72,3
4,29161.210414719626,299543953.38,1.133724252628773,78,2
5,5053.4158128680965,45475688.9,-1.6702535623985475,72,3
6,21913.243623543236,223756130.64,1.0786574789203154,77,1
7,8358.76614833026,81598275.14,-1.0825576016589102,76,0
8,13133.014768064679,129951181.13,0.3009171940272193,76,0
9,8772.890378933122,77789218.99,-0.17866225716510994,73,0
10,26332.303818710614,271617713.89,-0.16752755217760468,77,2
11,19276.762750944148,193962786.8,1.1605524961627327,78,1
12,14867.308619268419,144287230.15,-0.40160233714321614,75,0
13,27355.136891350012,286517703.8,1.3593537164330218,79,2
14,28784.85172709163,288999911.34,1.0523047971604909,77,2
15,9002.493073426927,89133683.92,-0.21303389435776246,78,0
16,7863.224123689506,74252425.4,-1.3042021857695452,76,0
17,12954.3936364558,127782138.83,-0.7139972267042991,76,0
18,15733.313136220713,155114734.21,-0.2636074292347378,78,0
19,20362.126734331887,206634862.1,1.10020534689319,79,1
20,29508.30159193264,301397792.46,1.0989426483894524,78,2
21,11283.435495721144,108117878.92,0.056396448712504925,77,0
22,15181.218886251032,147075648.57,-0.28158038456066675,76,0
23,19776.180880597014,198750617.85,-0.36396736225908566,77,0
24,18969.106499804457,194016021.28,1.10020534689319,77,1
25,10308.157810077519,101061179.17,-0.14137165460018067,76,0
26,14554.129672214329,143416393.79,0.25885457503907344,76,0
27,24826.98453594132,253855916.88,1.1061908657745443,78,2
28,18714.889803223574,189263680.58,1.1409232739682647,77,1
29,8158.810609201481,77141554.31,-0.7066178198642735,77,0
30,8764.237719396311,62716885.12,-1.5372110564138197,64,3
31,19681.907464011045,199613905.5,1.0990738378443863,76,1
32,16351.621854538325,166819246.16,1.0868896172174107,77,1
33,5728.4140527208265,37160221.96,-1.5912939092102738,63,3
34,13522.08167057903,138249763.0,0.35070359217459185,78,0
35,13803.59698572628,131520672.08,-0.5419258578767693,73,0
36,8584.41256348441,53412214.97,-1.5876861991995945,61,3
37,10297.355026366915,74202740.32,-1.5876861991995945,62,3
38,7492.478459657702,55159626.42,-1.5912939092102738,63,3
39,21000.763562462038,207445542.47,0.7769873273000697,75,1
40,13763.6328032345,137870309.79,0.3009991874365529,77,0
41,17976.004648096747,181341934.89,0.9772480302564972,77,1
42,11443.370117934706,79565752.43,-1.5912939092102738,62,3
43,13415.114117908457,90565435.41,-1.568794917689129,60,3
44,6038.929814479007,43293087.84,-1.5876861991995945,60,3
45,11662.897314516966,112395341.42,-0.3034890235346093,74,0
